threshold,sensitivity,specificity,precision,f1,youden
0.5841414141414141,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.5890909090909091,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.594040404040404,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.598989898989899,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6039393939393939,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6088888888888889,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6138383838383838,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6187878787878788,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6237373737373737,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6286868686868686,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6336363636363637,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6385858585858586,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6435353535353535,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6484848484848484,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6534343434343434,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6583838383838384,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6633333333333333,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6682828282828283,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6732323232323232,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6781818181818181,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6831313131313131,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6880808080808081,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.693030303030303,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.6979797979797979,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.702929292929293,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.7078787878787879,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.7128282828282828,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.7177777777777777,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.7227272727272727,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.7276767676767677,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.7326262626262626,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
0.7375757575757576,0.9609375,0.98125,0.9879518072289156,0.9742574257425742,0.9421875
